dataset,condition,fixture_id,verification_calls,tau,draft_acceptance_rate,rollback_tokens
gsm8k,dflash-r1,gsm8k_test_000000_12c0b583,86,3.011627906976744,0.13410852713178295,1117
gsm8k,dflash-r1,gsm8k_test_000001_183930a6,86,3.0232558139534884,0.13488372093023257,1116
gsm8k,dflash-r1,gsm8k_test_000002_838a7b6e,74,3.5135135135135136,0.16756756756756758,924
gsm8k,dflash-r1,gsm8k_test_000003_a6e8be50,59,4.593220338983051,0.23954802259887006,673
gsm8k,dflash-r1,gsm8k_test_000004_2382a957,71,3.704225352112676,0.18028169014084508,873
gsm8k,dflash-r1,gsm8k_test_000005_b54db050,76,3.3947368421052633,0.15964912280701754,958
gsm8k,dflash-r1,gsm8k_test_000006_f8601ce7,75,3.44,0.16266666666666665,942
gsm8k,dflash-r1,gsm8k_test_000007_ebe5532d,67,3.8507462686567164,0.1900497512437811,814
gsm8k,dflash-r1,gsm8k_test_000008_a18e44a5,90,2.8666666666666667,0.12444444444444444,1182
gsm8k,dflash-r1,gsm8k_test_000009_1e39b726,78,3.282051282051282,0.15213675213675212,992
gsm8k,dflash-r1,gsm8k_test_000010_59dc846d,73,3.547945205479452,0.16986301369863013,909
gsm8k,dflash-r1,gsm8k_test_000011_b70bab4a,64,4.03125,0.20208333333333334,766
gsm8k,dflash-r1,gsm8k_test_000012_21d66dd1,85,3.0941176470588236,0.1396078431372549,1097
gsm8k,dflash-r1,gsm8k_test_000013_bde0971b,71,3.619718309859155,0.17464788732394365,879
gsm8k,dflash-r1,gsm8k_test_000014_fc6f69e1,80,3.2,0.14666666666666667,1024
gsm8k,dflash-r1,gsm8k_test_000015_746c1f0c,80,3.2625,0.15083333333333335,1019
gsm8k,dflash-r1,gsm8k_test_000016_d4181f2f,90,2.8555555555555556,0.1237037037037037,1183
gsm8k,dflash-r1,gsm8k_test_000017_04aa2556,59,4.47457627118644,0.23163841807909605,680
gsm8k,dflash-r1,gsm8k_test_000018_d7ded01e,87,2.942528735632184,0.12950191570881225,1136
gsm8k,dflash-r1,gsm8k_test_000019_8beea970,65,3.9692307692307693,0.19794871794871796,782
gsm8k,dflash-r1,gsm8k_test_000020_14cc1000,70,3.7142857142857144,0.18095238095238095,860
gsm8k,dflash-r1,gsm8k_test_000021_4731f93b,85,3.0941176470588236,0.1396078431372549,1097
gsm8k,dflash-r1,gsm8k_test_000022_d280a9ea,82,3.1463414634146343,0.14308943089430895,1054
gsm8k,dflash-r1,gsm8k_test_000023_03349c30,61,4.377049180327869,0.22513661202185792,709
gsm8k,dflash-r1,gsm8k_test_000024_f58bbedc,80,3.2875,0.1525,1017
gsm8k,dflash-r1,gsm8k_test_000025_ec6edeab,73,3.506849315068493,0.16712328767123288,912
gsm8k,dflash-r1,gsm8k_test_000026_41d35568,65,3.953846153846154,0.19692307692307692,783
gsm8k,dflash-r1,gsm8k_test_000027_6a4f3624,90,2.888888888888889,0.1259259259259259,1180
gsm8k,dflash-r1,gsm8k_test_000028_3dd1dbbb,67,3.8358208955223883,0.1890547263681592,815
gsm8k,dflash-r1,gsm8k_test_000029_e10497e5,70,3.757142857142857,0.1838095238095238,857
gsm8k,cc-dflash-r2,gsm8k_test_000000_12c0b583,86,3.011627906976744,0.13410852713178295,1117
gsm8k,cc-dflash-r2,gsm8k_test_000001_183930a6,86,3.0232558139534884,0.13488372093023257,1116
gsm8k,cc-dflash-r2,gsm8k_test_000002_838a7b6e,74,3.5135135135135136,0.16756756756756758,924
gsm8k,cc-dflash-r2,gsm8k_test_000003_a6e8be50,59,4.593220338983051,0.23954802259887006,673
gsm8k,cc-dflash-r2,gsm8k_test_000004_2382a957,71,3.704225352112676,0.18028169014084508,873
gsm8k,cc-dflash-r2,gsm8k_test_000005_b54db050,76,3.3947368421052633,0.15964912280701754,958
gsm8k,cc-dflash-r2,gsm8k_test_000006_f8601ce7,75,3.44,0.16266666666666665,942
gsm8k,cc-dflash-r2,gsm8k_test_000007_ebe5532d,67,3.8507462686567164,0.1900497512437811,814
gsm8k,cc-dflash-r2,gsm8k_test_000008_a18e44a5,90,2.8666666666666667,0.12444444444444444,1182
gsm8k,cc-dflash-r2,gsm8k_test_000009_1e39b726,78,3.282051282051282,0.15213675213675212,992
gsm8k,cc-dflash-r2,gsm8k_test_000010_59dc846d,73,3.547945205479452,0.16986301369863013,909
gsm8k,cc-dflash-r2,gsm8k_test_000011_b70bab4a,64,4.03125,0.20208333333333334,766
gsm8k,cc-dflash-r2,gsm8k_test_000012_21d66dd1,85,3.0941176470588236,0.1396078431372549,1097
gsm8k,cc-dflash-r2,gsm8k_test_000013_bde0971b,71,3.619718309859155,0.17464788732394365,879
gsm8k,cc-dflash-r2,gsm8k_test_000014_fc6f69e1,80,3.2,0.14666666666666667,1024
gsm8k,cc-dflash-r2,gsm8k_test_000015_746c1f0c,80,3.2625,0.15083333333333335,1019
gsm8k,cc-dflash-r2,gsm8k_test_000016_d4181f2f,90,2.8555555555555556,0.1237037037037037,1183
gsm8k,cc-dflash-r2,gsm8k_test_000017_04aa2556,59,4.47457627118644,0.23163841807909605,680
gsm8k,cc-dflash-r2,gsm8k_test_000018_d7ded01e,87,2.942528735632184,0.12950191570881225,1136
gsm8k,cc-dflash-r2,gsm8k_test_000019_8beea970,65,3.9692307692307693,0.19794871794871796,782
gsm8k,cc-dflash-r2,gsm8k_test_000020_14cc1000,70,3.7142857142857144,0.18095238095238095,860
gsm8k,cc-dflash-r2,gsm8k_test_000021_4731f93b,85,3.0941176470588236,0.1396078431372549,1097
gsm8k,cc-dflash-r2,gsm8k_test_000022_d280a9ea,82,3.1463414634146343,0.14308943089430895,1054
gsm8k,cc-dflash-r2,gsm8k_test_000023_03349c30,61,4.377049180327869,0.22513661202185792,709
gsm8k,cc-dflash-r2,gsm8k_test_000024_f58bbedc,80,3.2875,0.1525,1017
gsm8k,cc-dflash-r2,gsm8k_test_000025_ec6edeab,73,3.506849315068493,0.16712328767123288,912
gsm8k,cc-dflash-r2,gsm8k_test_000026_41d35568,65,3.953846153846154,0.19692307692307692,783
gsm8k,cc-dflash-r2,gsm8k_test_000027_6a4f3624,90,2.888888888888889,0.1259259259259259,1180
gsm8k,cc-dflash-r2,gsm8k_test_000028_3dd1dbbb,67,3.8358208955223883,0.1890547263681592,815
gsm8k,cc-dflash-r2,gsm8k_test_000029_e10497e5,70,3.757142857142857,0.1838095238095238,857
qmsum,dflash-r1,qmsum_test_meeting0000_specific_00_24bd89de,44,8.795454545454545,0.5196969696969697,317
qmsum,dflash-r1,qmsum_test_meeting0000_specific_01_1b6f4c97,143,2.6853146853146854,0.11235431235431236,1904
qmsum,dflash-r1,qmsum_test_meeting0000_specific_02_86570dc2,89,4.359550561797753,0.22397003745318353,1036
qmsum,dflash-r1,qmsum_test_meeting0000_specific_03_65958b7c,116,3.310344827586207,0.15402298850574714,1472
qmsum,dflash-r1,qmsum_test_meeting0000_specific_04_d876a539,73,5.4520547945205475,0.2968036529680365,770
qmsum,dflash-r1,qmsum_test_meeting0000_specific_05_4b169ecb,97,4.051546391752577,0.2034364261168385,1159
qmsum,dflash-r1,qmsum_test_meeting0000_specific_06_8cdb8b6e,91,4.274725274725275,0.21831501831501832,1067
qmsum,dflash-r1,qmsum_test_meeting0000_specific_07_370640be,71,5.408450704225352,0.29389671361502345,752
qmsum,dflash-r1,qmsum_test_meeting0000_specific_08_8242aef6,79,4.860759493670886,0.25738396624472576,880
qmsum,dflash-r1,qmsum_test_meeting0000_specific_09_8d3ad62d,43,9.13953488372093,0.5426356589147286,295
qmsum,dflash-r1,qmsum_test_meeting0000_specific_10_92ae6f78,78,5.064102564102564,0.2709401709401709,853
qmsum,dflash-r1,qmsum_test_meeting0000_specific_11_acba5d5c,56,7.0,0.4,504
qmsum,dflash-r1,qmsum_test_meeting0001_specific_00_a2343587,40,9.725,0.5816666666666667,251
qmsum,dflash-r1,qmsum_test_meeting0001_specific_01_0e55d871,96,4.072916666666667,0.2048611111111111,1145
qmsum,dflash-r1,qmsum_test_meeting0001_specific_02_a5bedb8b,114,3.4035087719298245,0.16023391812865498,1436
qmsum,dflash-r1,qmsum_test_meeting0001_specific_03_4b7e9938,43,9.069767441860465,0.537984496124031,298
qmsum,dflash-r1,qmsum_test_meeting0001_specific_04_b3828ce3,81,4.753086419753086,0.25020576131687244,911
qmsum,dflash-r1,qmsum_test_meeting0001_specific_05_4603d5b5,102,3.8333333333333335,0.18888888888888888,1241
qmsum,dflash-r1,qmsum_test_meeting0002_specific_00_4389fd52,101,3.8415841584158414,0.18943894389438945,1228
qmsum,dflash-r1,qmsum_test_meeting0002_specific_01_a568c3d3,91,4.3076923076923075,0.2205128205128205,1064
qmsum,dflash-r1,qmsum_test_meeting0002_specific_02_719df5ca,160,2.4125,0.09416666666666666,2174
qmsum,dflash-r1,qmsum_test_meeting0002_specific_03_ed58ebe8,42,9.452380952380953,0.5634920634920635,275
qmsum,dflash-r1,qmsum_test_meeting0003_specific_00_7b6db32b,45,8.777777777777779,0.5185185185185185,325
qmsum,dflash-r1,qmsum_test_meeting0003_specific_01_d12053b5,56,6.910714285714286,0.39404761904761904,509
qmsum,dflash-r1,qmsum_test_meeting0003_specific_02_d6f8eac6,71,5.492957746478873,0.2995305164319249,746
qmsum,dflash-r1,qmsum_test_meeting0003_specific_03_f6aafcd8,48,8.145833333333334,0.47638888888888886,377
qmsum,dflash-r1,qmsum_test_meeting0003_specific_04_c8cbb094,80,4.85,0.25666666666666665,892
qmsum,dflash-r1,qmsum_test_meeting0003_specific_05_506a85ec,64,6.03125,0.33541666666666664,638
qmsum,dflash-r1,qmsum_test_meeting0004_specific_00_bc14e4f2,40,9.75,0.5833333333333334,250
qmsum,dflash-r1,qmsum_test_meeting0004_specific_01_6e128e20,40,9.65,0.5766666666666667,254
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_00_24bd89de,114,3.412280701754386,0.1608187134502924,1435
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_01_1b6f4c97,60,6.583333333333333,0.37222222222222223,565
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_02_86570dc2,86,4.593023255813954,0.23953488372093024,981
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_03_65958b7c,133,2.9323308270676693,0.12882205513784462,1738
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_04_d876a539,115,3.365217391304348,0.15768115942028985,1453
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_05_4b169ecb,99,4.03030303030303,0.20202020202020202,1185
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_06_8cdb8b6e,55,7.2,0.41333333333333333,484
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_07_370640be,81,4.777777777777778,0.2518518518518518,909
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_08_8242aef6,78,5.089743589743589,0.2726495726495726,851
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_09_8d3ad62d,140,2.757142857142857,0.11714285714285715,1854
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_10_92ae6f78,78,5.089743589743589,0.2726495726495726,851
qmsum,cc-dflash-r2,qmsum_test_meeting0000_specific_11_acba5d5c,62,6.258064516129032,0.35053763440860214,604
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_00_a2343587,131,2.946564885496183,0.1297709923664122,1710
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_01_0e55d871,112,3.4464285714285716,0.1630952380952381,1406
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_02_a5bedb8b,132,3.0,0.13333333333333333,1716
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_03_4b7e9938,106,3.6226415094339623,0.17484276729559747,1312
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_04_b3828ce3,119,3.310924369747899,0.15406162464985995,1510
qmsum,cc-dflash-r2,qmsum_test_meeting0001_specific_05_4603d5b5,182,2.10989010989011,0.073992673992674,2528
qmsum,cc-dflash-r2,qmsum_test_meeting0002_specific_00_4389fd52,108,3.6944444444444446,0.17962962962962964,1329
qmsum,cc-dflash-r2,qmsum_test_meeting0002_specific_01_a568c3d3,70,5.614285714285714,0.3076190476190476,727
qmsum,cc-dflash-r2,qmsum_test_meeting0002_specific_02_719df5ca,77,5.090909090909091,0.2727272727272727,840
qmsum,cc-dflash-r2,qmsum_test_meeting0002_specific_03_ed58ebe8,133,2.9323308270676693,0.12882205513784462,1738
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_00_7b6db32b,145,2.6482758620689655,0.10988505747126437,1936
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_01_d12053b5,70,5.5,0.3,735
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_02_d6f8eac6,75,5.133333333333334,0.27555555555555555,815
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_03_f6aafcd8,52,7.576923076923077,0.43846153846153846,438
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_04_c8cbb094,82,4.719512195121951,0.24796747967479674,925
qmsum,cc-dflash-r2,qmsum_test_meeting0003_specific_05_506a85ec,38,3.1842105263157894,0.1456140350877193,487
qmsum,cc-dflash-r2,qmsum_test_meeting0004_specific_00_bc14e4f2,118,3.3220338983050848,0.15480225988700566,1496
qmsum,cc-dflash-r2,qmsum_test_meeting0004_specific_01_6e128e20,95,4.052631578947368,0.20350877192982456,1135
