dataset,source,condition,rows,gsm8k_strict_correct,gsm8k_wrong_numeric,gsm8k_no_final_answer,invalid_outputs,empty_outputs,reference_recall,reference_precision,full_prompt_reduction_tokens,full_prompt_reduction_pct,mean_compression_total_ms,mean_target_prefill_ms,mean_decode_total_ms,generation_tok_s,mean_warm_e2e_ms,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,cpu_compressor_memory_delta_bytes,global_target_forwards_per_output_token,effective_tau,draft_acceptance_rate
gsm8k,Rec-T07 GPU,llmlingua-ar-r2-gpu,100,83,17,0,0,0,,,0.0,0.0,0.0,120.52758183970582,2114.672830919735,30.967476731386004,2237.091412049922,2756939264,3074424832,0,1.0,0.0,0.0
gsm8k,Rec-T07 GPU,cc-dflash-r2-gpu,100,84,16,0,0,0,,,0.0,0.0,0.0,131.58415721045458,1411.736847210559,44.84528952940668,1547.8443930503272,3873270784,3963617280,0,0.23808147934123086,4.406976744186046,0.22915590008613265
qmsum,Rec-T07 GPU,llmlingua-ar-r2-gpu,100,,,,0,0,0.22760186117202502,0.33643827880084715,1127.9499999999998,52.065879181495475,154.03709874983178,333.62573383157724,1211.191552359378,25.91793303656436,1708.2623770192731,3682438144,3800039424,139575296,1.0,0.0,0.0
qmsum,Rec-T07 GPU,cc-dflash-r2-gpu,100,,,,0,0,0.22670229873827907,0.3380742310716369,1127.9499999999998,52.065879181495475,164.70995954077807,339.6054112202546,1565.9449263905117,20.359565905018396,2083.8793130702106,4970603008,5049942016,145932288,0.47551546391752575,2.166189111747851,0.08118433619866285
gsm8k,Rec-T06D CPU,baseline-ar,100,83,17,0,0,0,,,0.0,0.0,0.0,120.06443864025641,2113.8550559103896,30.98518482122573,2235.135461620157,2756937216,3063939072,0,1.0,0.0,0.0
gsm8k,Rec-T06D CPU,dflash-r1,100,84,16,0,0,0,,,0.0,0.0,0.0,123.10896282026079,1313.4810979298345,48.17722078165483,1439.7429692695732,3873268736,3963617280,0,0.23808147934123086,4.406976744186046,0.22915590008613265
gsm8k,Rec-T06D CPU,llmlingua-ar-r2,100,83,17,0,0,0,,,0.0,0.0,0.0,120.23805586024537,2112.73696426033,30.998341569976624,2234.829193510159,2756939264,3074424832,0,1.0,0.0,0.0
gsm8k,Rec-T06D CPU,cc-dflash-r2,100,84,16,0,0,0,,,0.0,0.0,0.0,122.12410804007959,1302.4736393697094,48.58280800092236,1428.7090607802384,3873270784,3963617280,0,0.23808147934123086,4.406976744186046,0.22915590008613265
qmsum,Rec-T06D CPU,baseline-ar,100,,,,0,0,0.22012775669910234,0.34116232465630525,0.0,0.0,0.0,719.2870772103925,1146.942027009718,20.398828815674463,1870.8616023998184,3264035328,3474980864,0,1.0,0.0,0.0
qmsum,Rec-T06D CPU,dflash-r1,100,,,,0,0,0.22000959181366583,0.33754089444939767,0.0,0.0,0.0,698.0800501800695,1626.2540591100696,16.609427005515382,2334.356517530032,4802241536,5156896768,0,0.44522144522144524,2.3230389129092033,0.09166151945645461
qmsum,Rec-T06D CPU,llmlingua-ar-r2,100,,,,0,0,0.22760186117202502,0.33643827880084715,1127.9499999999998,52.065879181495475,2858.357421919718,377.28590059035923,1219.8870469300164,25.068175373124618,4465.994572940108,2967254528,3042967552,136704000,1.0,0.0,0.0
qmsum,Rec-T06D CPU,cc-dflash-r2,100,,,,0,0,0.22670229873827907,0.3380742310716369,1127.9499999999998,52.065879181495475,2810.884411800216,372.6289698600158,1584.4561581902963,19.82358165720475,4780.0540903402,4261173248,4370464768,150781952,0.47551546391752575,2.166189111747851,0.08118433619866285
