stage,dataset_name,condition,rows,status,avg_input_tokens,avg_output_tokens,avg_generation_time_s,avg_tok_per_sec_generation_only,avg_e2e_time_s,e2e_output_tok_per_sec,avg_t_compress_ms,avg_t_prefill_ms,avg_R_actual,avg_tau_mean,max_vram_allocated_gib,max_vram_reserved_gib,generated_text_all_present
task50_n3,gsm8k_short,Baseline-AR,3,PASS,96.0,32.0,2.3770368013335124,13.472721861382132,2.3770368013335124,13.462139072499033,0.0,256.4037613331796,0.0,0.0,2.502474308013916,2.607421875,True
task50_n3,gsm8k_short,CC-DFlash-R2,3,PASS,74.66666666666667,32.0,0.770312673999797,44.21993863263935,1.5874133353330155,20.15858081051516,817.1006613332187,214.2482546669271,2.6666666666666665,7.083333333333333,3.5108370780944824,3.6484375,True
task50_n3,gsm8k_short,DFlash-R1,3,PASS,96.0,32.0,0.923650933999852,36.32396149697846,0.923650933999852,34.64512276453252,0.0,207.7306046664186,0.0,5.002442002442002,3.5108370780944824,3.654296875,True
task50_n3,gsm8k_short,LLMLingua-AR-R2,3,PASS,74.66666666666667,32.0,1.9474067010002425,16.451285864847176,2.9726144370003262,10.764934598208871,1025.207736000084,215.5572793332491,2.6666666666666665,0.0,2.502474308013916,2.603515625,True
task50_n3,qmsum_meeting_qa_long,Baseline-AR,3,PASS,2038.0,32.0,2.578689219666861,12.42446619316491,2.578689219666861,12.409405428132228,0.0,772.7983279998322,0.0,0.0,2.5025229454040527,4.31640625,True
task50_n3,qmsum_meeting_qa_long,LLMLingua-AR-R2,3,PASS,995.0,32.0,2.311887558666664,13.883800003203786,7.555936176000007,4.235080770221685,5244.048617333344,455.0652456670529,2.0639222628716243,0.0,2.5024967193603516,3.41796875,True
task51_stage_b_n10,gsm8k_short,Baseline-AR,10,PASS,100.3,32.0,1.915849261400035,16.71601421626227,1.915849261400035,16.702775445191094,0.0,126.96221279993551,0.0,0.0,2.502474308013916,2.607421875,True
task51_stage_b_n10,gsm8k_short,CC-DFlash-R2,10,PASS,78.6,32.0,0.7436262512002031,45.606389196297,1.4786214141003255,21.64178044145976,734.9951629001225,135.81424799967863,2.6666666666666665,6.005833333333333,3.5108370780944824,3.6484375,True
task51_stage_b_n10,gsm8k_short,DFlash-R1,10,PASS,100.3,32.0,0.831993511300061,40.84714803085093,0.831993511300061,38.46183842226998,0.0,126.53431200005798,0.0,4.994780219780219,3.5108370780944824,3.654296875,True
task51_stage_b_n10,gsm8k_short,LLMLingua-AR-R2,10,PASS,78.6,32.0,1.9861508383,16.168671705303282,2.757839505299762,11.603285810688165,771.6886669997621,130.6024408999292,2.6666666666666665,0.0,2.502474308013916,2.603515625,True
task51_stage_b_n10,qmsum_meeting_qa_long,Baseline-AR,10,PASS,2027.2,32.0,2.531713480000144,12.647320250355776,2.531713480000144,12.639660946150265,0.0,700.3543711999555,0.0,0.0,2.5025229454040527,4.31640625,True
task51_stage_b_n10,qmsum_meeting_qa_long,CC-DFlash-R2,10,PASS,990.8,32.0,1.5561961370000972,20.87349842434208,6.777503686799991,4.7215024113264406,5221.307549799894,430.7495404999827,2.0685543212788415,3.0826184926184927,3.5108518600463867,4.39453125,True
task51_stage_a_n3,qmsum_meeting_qa_long,CC-DFlash-R2,3,PASS,995.0,32.0,1.5060119999998278,21.25408491509691,6.533854014000099,4.897568866925027,5027.842014000271,452.69639033358544,2.0639222628716243,2.89020979020979,3.5108518600463867,4.39453125,True
task51_stage_b_n10,qmsum_meeting_qa_long,DFlash-R1,10,PASS,2027.2,30.6,2.006813405400135,15.526450029145328,2.006813405400135,15.248054411864327,0.0,729.9707770997884,0.0,2.7766351295763063,3.5108695030212402,5.318359375,True
task51_stage_a_n3,qmsum_meeting_qa_long,DFlash-R1,3,PASS,2038.0,32.0,2.1298312276667275,15.245708534240569,2.1298312276667275,15.024664670287812,0.0,828.7389676661405,0.0,2.6500891265597146,3.5108695030212402,5.318359375,True
task51_stage_b_n10,qmsum_meeting_qa_long,LLMLingua-AR-R2,10,PASS,990.8,32.0,2.4737788397998886,12.975453046221713,7.725765337099892,4.14198446415824,5251.986497300004,421.8744110001353,2.0685543212788415,0.0,2.5024967193603516,3.41796875,True
