section,metric,avg,min,max,p95,note
runtime,t_compress_ms,17.34867,13.806546,156.056854,17.838064,
runtime,e2e_time_s,2.879695,1.10317,6.704996,4.696086,
runtime,tokens_per_second,59.826565,34.720021,84.878337,81.09813,
runtime,tau_mean,5.630137,3.259259,8.333333,7.480074,
runtime,t_prefill_ms,95.953511,86.436029,212.204966,106.02041,
runtime,vram_allocated_gib,4.162689,4.162688,4.162691,4.162689,
runtime,vram_reserved_gib,4.379336,4.357422,4.431641,4.431641,
compression,R_actual,2.0,2.0,2.0,2.0,
compression,failure_rows_R_actual,2.0,2.0,2.0,2.0,
gpu_vram,vram_allocated_gib,4.162689,4.162688,4.162691,4.162689,
gpu_vram,vram_reserved_gib,4.379336,4.357422,4.431641,4.431641,
gpu_vram,prefill_vram_allocated_gib,4.162686,4.162685,4.162687,4.162686,
gpu_vram,prefill_vram_reserved_gib,4.378418,4.283203,4.431641,4.431641,
