fixture_id,primary_bucket,secondary_flags,reference_unigram_recall,output_source_keyword_overlap,output_token_count,rationale_short
qmsum_meeting_qa_test_0015,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch;possible_paraphrase,0.1,0.15517241379310345,85.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0036,unresolved_proxy_limitation,low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.15,0.08333333333333333,108.0,Deterministic signals are mixed and insufficient for a stronger bucket without human or LLM judging.
qmsum_meeting_qa_test_0032,source_reference_mismatch_possible,low_reference_overlap;output_long_but_offtopic;possible_entity_mismatch;possible_paraphrase,0.10869565217391304,0.1746031746031746,133.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0029,source_reference_mismatch_possible,low_reference_overlap;output_long_but_offtopic;possible_entity_mismatch,0.05263157894736842,0.15789473684210525,144.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0014,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.23076923076923078,0.13846153846153847,158.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0070,evidence_miss_likely,low_question_overlap;low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.05555555555555555,0.030303030303030304,89.0,"Output has very low reference and source overlap, indicating a likely evidence miss or off-target answer."
qmsum_meeting_qa_test_0076,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.05084745762711865,0.15625,59.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0055,generic_or_under_specific,low_reference_overlap;low_source_overlap;output_short;possible_entity_mismatch,0.0,0.08620689655172414,22.0,Output is short or generic enough that lexical uncertainty is likely an under-specific answer risk.
qmsum_meeting_qa_test_0098,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.08333333333333333,0.12727272727272726,87.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0028,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.18181818181818182,0.12903225806451613,134.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0030,proxy_false_negative,low_reference_overlap;possible_entity_mismatch;possible_paraphrase,0.13157894736842105,0.2222222222222222,75.0,"Output appears grounded and relevant, while reference overlap is low enough to suggest paraphrase or lexical mismatch."
qmsum_meeting_qa_test_0065,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.10526315789473684,0.13333333333333333,118.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0078,evidence_miss_likely,low_question_overlap;low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.07407407407407407,0.06896551724137931,85.0,"Output has very low reference and source overlap, indicating a likely evidence miss or off-target answer."
qmsum_meeting_qa_test_0072,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.028985507246376812,0.15151515151515152,81.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0054,unresolved_proxy_limitation,low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.17777777777777778,0.08695652173913043,115.0,Deterministic signals are mixed and insufficient for a stronger bucket without human or LLM judging.
qmsum_meeting_qa_test_0094,unresolved_proxy_limitation,low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.13636363636363635,0.06451612903225806,104.0,Deterministic signals are mixed and insufficient for a stronger bucket without human or LLM judging.
qmsum_meeting_qa_test_0058,source_reference_mismatch_possible,low_reference_overlap;possible_entity_mismatch,0.044444444444444446,0.1076923076923077,83.0,Output has some source grounding but does not align lexically with the reference; deterministic evidence cannot decide fault.
qmsum_meeting_qa_test_0001,unresolved_proxy_limitation,low_reference_overlap;low_source_overlap;possible_entity_mismatch,0.09615384615384616,0.0847457627118644,68.0,Deterministic signals are mixed and insufficient for a stronger bucket without human or LLM judging.
