claim_type,claim
supported,Light GPU compressor path substantially reduces compression overhead compared with earlier CPU large-compressor path.
supported,"On GSM8K, T106B is the best scoped optimized candidate after T107B/T109 repair attempts."
supported,"On GSM8K, T106B improves strict/cap behavior over pre-fix optimized CC-DFlash in the scoped candidate setting."
supported,Local Qwen3.5-9B GGUF judge pipeline is available and technically functional.
supported,"QMSum received repair and judge-validation attempts, but remains a semantic limitation."
blocked,CC-DFlash is production-ready.
blocked,Default switch is authorized.
blocked,CC-DFlash universally beats DFlash-R1.
blocked,CC-DFlash wins QMSum.
blocked,QMSum semantic correctness is proven.
blocked,QMSum residual risk is eliminated.
blocked,Local judge labels are ground truth.
blocked,T108B repaired QMSum.
