path,task,exists,required_for_t82,role,notes
docs/reports/69-gsm8k-n30-full-matrix-report.md,T69,True,False,Report,
docs/reports/71-qmsum-n30-full-matrix-report.md,T71,True,True,Report,
docs/reports/79-qmsum-limitation-freeze-report.md,T79,True,True,Report,
docs/reports/80-cross-dataset-final-result-package-report.md,T80,True,True,Report,
docs/reports/80a-final-two-dataset-rerun-report.md,T80a,True,True,Report,
docs/reports/80b-rerun-analysis-and-issue-gate-report.md,T80b,True,True,Report,
docs/reports/81-final-package-consistency-audit-report.md,T81,True,True,Report,
results/task69_gsm8k_full_matrix_summary.json,T69,True,True,Summary,
results/task69_gsm8k_full_matrix_table.csv,T69,True,False,Table,
results/task71_qmsum_n30_full_matrix_summary.json,T71,True,True,Summary,
results/task71_qmsum_n30_full_matrix_table.csv,T71,True,False,Table,
results/task79_qmsum_reporting_decision.json,T79,True,True,Summary,
results/task79_qmsum_reporting_decision_table.csv,T79,True,False,Table,
results/task80_cross_dataset_final_summary.json,T80,True,True,Summary,
results/task80_cross_dataset_final_table.csv,T80,True,True,Table,
results/task80_cross_dataset_claims_matrix.csv,T80,True,True,Matrix,
results/task80_final_report_key_points.json,T80,True,True,Summary,
results/task80a_final_two_dataset_rerun_summary.json,T80A,True,True,Summary,
results/task80a_final_two_dataset_rerun_table.csv,T80A,True,True,Table,
results/task80a_condition_delta_vs_task80.csv,T80A,True,True,Table,
results/task80a_run_manifest.json,T80A,True,True,Manifest,
results/task80b_rerun_issue_gate_summary.json,T80B,True,True,Summary,
results/task80b_dflash_regression_check.json,T80B,True,True,Check,
results/task80b_rerun_issue_gate_table.csv,T80B,True,True,Table,
results/task80b_cleaned_delta_interpretation.csv,T80B,True,True,Interpretation,
results/task81_final_consistency_audit_summary.json,T81,True,True,Summary,
results/task81_claim_safety_matrix.csv,T81,True,True,Matrix,
results/task81_evidence_basis_matrix.csv,T81,True,True,Matrix,
results/task81_artifact_manifest.csv,T81,True,True,Manifest,
results/task81_final_report_readiness_checklist.csv,T81,True,True,Checklist,
